license_no,facility_type,licensed_name,dba_alpha_name,address,city,zip,county,phone,fax,email,license_expires,licensed_slots,administrator,licensed_owner,owner_address,owner_city_state_zip,owner_type,npi_matches,npi_authorized_official,lat,lng
02015,ADULT DAY HEALTH SERVICES FACILITY,GOLDEN ADULT DAY CARE (NJ02015),GOLDEN ADULT DAY CARE INC.,53-57 WEST FORT LEE ROAD,BOGOTA,07603,BERGEN,(201) 457-1007,(201) 457-1005,goldenadultdaycare@gmail.com,2026-11-30,220,Ms Elizabeth Hall,Golden Adult Day Care Inc.,53-57 West Fort Lee Road,"Bogota, NJ - 07603",PROFIT - LLC,1568846616,EUNICE PARK (Owner),40.87656760,-74.03030340
02007,ADULT DAY HEALTH SERVICES FACILITY,GOOD SHEPARD ADULT DAY CARE LLC (NJ02007),GOOD SHEPARD ADULT DAY CARE LLC,725 VALLEY BROOK AVENUE,LYNDHURST,07071,BERGEN,(201) 933-0711,(201) 933-0611,ragaewassef@yahoo.com,2027-05-31,120,Ylliny Suarez,Good Shepard Adult Day Care Llc,725 Valley Brook Avenue,"Lyndhurst, NJ - 07071",PROFIT - PARTNERSHIP,,,40.80632880,-74.11422350
58100,ADULT DAY HEALTH SERVICES FACILITY,"LONG LIFE ADULT DAYCARE, LLC (NJ58100)","LONG LIFE ADULT DAY CARE, LLC","596 ANDERSON AVENUE, SUITE 110",CLIFFSIDE PARK,07010,BERGEN,(201) 943-7111,(201) 943-8859,efmanella@gmail.com,2026-12-31,80,Ms Ella Efman,"Long Life Adult Day Care, Llc",596 Anderson Avenue Suite 110,"Cliffside Park, NJ - 07010",PROFIT - LLC,,,40.82423910,-73.98805330
AD0210,ADULT DAY HEALTH SERVICES FACILITY,MAGNOLIA ADULT DAY CARE (NJAD0210),MAGNOLIA ADULT DAY CARE LLC,2300 3RD STREET,FORT LEE,07024,BERGEN,(201) 482-4500,(201) 429-2950,lucy2300third@gmail.com,2027-06-30,150,Ms Lucinda Avlonits,Magnolia Adult Day Care Llc,2300 3Rd Street,"Fort Lee, NJ - 07024",,,,40.86274100,-73.96441140
02006,ADULT DAY HEALTH SERVICES FACILITY,MY HOME ADULT DAY CARE CENTER INC (NJ02006),"MY HOME ADULT DAY CARE CENTER, INC",37 BROOK AVENUE,MAYWOOD,07607,BERGEN,(201) 291-8811,(201) 291-8833,jkabaria@myhomeadc.com,2027-09-30,200,Ms Melissa Frisoli,"My Home Adult Day Care Center, Inc",37 Brook Avenue,"Maywood, NJ - 07607",CORPORATION - FOR PROFIT,,,40.90325640,-74.06939200
02009,ADULT DAY HEALTH SERVICES FACILITY,NEW JERSEY ADULT MEDICAL DAY CARE INC (NJ02009),"NEW JERSEY ADULT MEDICAL DAY CARE, INC","105 CHALLENGER ROAD, 6TH FLOOR",RIDGEFIELD PARK,07660,BERGEN,(201) 773-9090,(201) 773-9088,futurefocusconsultants@gmail.com,2027-06-30,200,Aakash Agarwal,"New Jersey Adult Medical Day Care Center Iii, Inc",22-08 Route 208 South,"Fair Lawn, NJ - 07410",CORPORATION - FOR PROFIT,,,40.85252160,-74.01137520
I5W32J,ADULT DAY HEALTH SERVICES FACILITY,NEW LIFE ADULT MEDICAL DAY CARE (NJI5W32J),"BERGEN COUNTY ADULT DAY CARE, LLC",340 EVELYN STREET,PARAMUS,07652,BERGEN,(201) 265-0606,(201) 265-0630,SAVAN@NEWLIFEADC.COM,2026-11-30,200,Savan Patel,"Bergen County Adult Day Care, Llc",340 Evelyn Street,"Paramus, NJ - 07652",PROFIT - LLC,,,40.94503890,-74.06952970
080321,ADULT DAY HEALTH SERVICES FACILITY,NORTHERN VALLEY ADULT DAY HEAL (NJ80321),VANTAGE HEALTH SYSTEM,2 PARK AVENUE,DUMONT,07628,BERGEN,(201) 385-4400,(201) 384-7067,infor@vantagenj.org,2027-07-31,22,Sulie Rosario,Vantage Health System,2 Park Avenue,"Dumont, NJ - 07628",CORPORATION - NONPROFIT,,,40.93919030,-73.99617960
02028,ADULT DAY HEALTH SERVICES FACILITY,OUR HOME ADULT DAY CARE (NJ02028),"OUR HOME ADULT DAY CARE, LLC",475 GRAND AVENUE,ENGLEWOOD,07631,BERGEN,(201) 731-3636,(201) 431-9762,cheegap@gmail.com,2026-10-31,165,Eunyoung Choi,"Our Home Adult Day Care, Llc",475 Grand Avenue,"Englewood, NJ - 07631",PROFIT - LLC,,,40.87801240,-73.98144190
02019,ADULT DAY HEALTH SERVICES FACILITY,PEACEFUL ADULT DAY CARE CENTER (NJ02019),JAY SHREE KRISHNA LITTLE FERRY LLC,"101 INDUSTRIAL AVENUE, SUITE C & B",LITTLE FERRY,07643,BERGEN,(201) 870-6265,(201) 870-6263,nitakpanchal@yahoo.com,2027-03-31,210,Nita Panchal,Jay Shree Krishna Little Ferry Llc,"101 Industrial Avenue, Suite #C","Little Ferry, NJ - 07643",,,,0,0
058110,ADULT DAY HEALTH SERVICES FACILITY,SUNSHINE ADULT DAY HEALTH CARE CENTER (NJ58110),"FIRST HEALTHCARE BERGENFIELD, LLC",16 N. WASHINGTON AVENUE,BERGENFIELD,07621,BERGEN,(201) 387-8500,(201) 387-0300,bp@firsthc.com,2027-03-31,120,Mr Steven Edelstein,"First Healthcare Bergenfield, Llc",4557 Route 9 North,"Howell, NJ - 07731",PROFIT - LLC,,,40.92833930,-73.99614860
108100,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF DELRAN (NJ108100),"SENIOR CARE CENTERS OF AMERICA, INC.",8008 US ROUTE 130,DELRAN,08075,BURLINGTON,(856) 461-1700,0,DELRAN@ACTIVEDAY.COM,2026-11-30,112,Stan Dervech,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,,,40.02340940,-74.93804820
158100,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF MARLTON (NJ158100),"SENIOR CARE CENTERS OF AMERICA, INC.",556A LIPPINCOTT DRIVE,MARLTON,08053,BURLINGTON,(856) 988-3250,0,MARLTON@ACTIVEDAY.COM,2026-11-30,135,Diana Sanchez,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,,,39.88134000,-74.92474870
080125,ADULT DAY HEALTH SERVICES FACILITY,BRIGHT ADULT MEDICAL DAY CARE (NJ80125),"BRIGHT ADULT MEDICAL DAY CARE, LLC",352 BEVERLY RANCOCAS RD,WILLINGBORO,08046,BURLINGTON,(609) 871-8881,(609) 543-2378,davidg@brightadc.com,2027-03-31,80,Stevie Stevenson,"Bright Adult Medical Day Care, Llc","150 Airport Road, Suite 1200","Lakewood, NJ - 08701",,1972638476;1477060184;1902396518,JAMES BAESZLER (MIS);SUSAN VERNACCHIO (controller);DAVID GESTETNER (CEO),40.02672970,-74.90604060
QGEVMS,ADULT DAY HEALTH SERVICES FACILITY,PRESTIGE OF MARLTON AMDC (QGEVMS),"PRESTIGE OF MARLTON AMDC, LLC",14000 SAGEMORE DRIVE,MARLTON,08053,BURLINGTON,(856) 988-9001,(856) 988-9220,mayya@prestigeamdc.org,2026-11-30,140,Ms Mayya Birbrayer,"Golden Age Excell, L.L.C.","14000 Sagemore Drive, #301","Marlton, NJ - 08053",PROFIT - LLC,,,39.87238120,-74.91932440
80471,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF CAMDEN (NJ80471),"SENIOR CARE CENTERS OF AMERICA, INC.","1000 ATLANTIC AVENUE, SUITE 110",CAMDEN,08104,CAMDEN,(856) 246-3350,0,CAMDEN@ACTIVEDAY.COM,2026-11-30,100,Adaliza Rodriquez,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,,,39.92844710,-75.10819820
04008,ADULT DAY HEALTH SERVICES FACILITY,"ALLIANCE AMDC, LLC (NJ04008)","ALLIANCE AMDC, LLC",607 S WHITEHORSE PIKE,AUDUBON,08106,CAMDEN,(856) 617-6396,(856) 617-0817,jkaur.aamdc@gmail.com,2027-03-31,83,Ms Yeidy Marrero,"Alliance Amdc, Llc",607 S White Horse Pike,"Audubon, NJ - 08106",,1134565567,PAUL FIRETTO (Office Manager),39.88888900,-75.06287010
158224,ADULT DAY HEALTH SERVICES FACILITY,GENERATIONS PLUS (NJ158224),"WELLSPRINGS FOR SENIORS, LLC","7905 BROWNING ROAD, SUITE 220-222",PENNSAUKEN,08109,CAMDEN,(856) 317-1910,0,mculang@generations-plus.com,2027-03-31,190,Moshe Culang,"Wellsprings For Seniors, Llc",1116 Somerset Avenue,"Lakewood, NJ - 08701",PROFIT - LLC,,,39.92793480,-75.07318590
158331,ADULT DAY HEALTH SERVICES FACILITY,PRESTIGE AMDC (NJ158331),"HEALTHCARE PROVIDERS, LLC","53 HADDONFIELD ROAD, SUITE 312",CHERRY HILL,08002,CAMDEN,(856) 414-9400,(856) 414-6190,charles@prestigeamdc.org,2027-04-30,190,Mr Charles Steinharter,"Healthcare Providers, Llc",771 Marlin Avenue,"Lakewood, NJ - 08701",,,,39.94748510,-75.02414980
04017,ADULT DAY HEALTH SERVICES FACILITY,RADHA ADULT DAYCARE LLC (NJ04017),RADHA ADULT DAYCARE LLC,316 BLACKHORSE PIKE,GLENDORA,08029,CAMDEN,(856) 906-7201,(732) 960-2360,kdpatel6@gmail.com,2027-03-31,80,Kiritkumar Patel,Radha Adult Daycare Llc,"330 Blackhorse Pike, Unit B","Glendora, NJ - 08029",,,,39.83714240,-75.06727180
04016,ADULT DAY HEALTH SERVICES FACILITY,STARS ADULT MEDICAL DAY CARE CENTER (NJ04016),"STARS ADULT MEDICAL DAY CARE CENTER, LLC",1470 HADDON AVENUE,CAMDEN,08103,CAMDEN,(856) 203-3548,(856) 203-3582,Margarita@starsamdc.com,2027-07-31,107,Ms Maragarita Santiago,"Stars Adult Medical Day Care Center, Llc",1470 Haddon Avenue,"Ca Mden, NJ - 08103",,,,39.92905200,-75.09833380
208220,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF CAPE MAY COUNTY (NJ208220),"SENIOR CARE CENTERS OF AMERICA, INC.",211 SOUTH MAIN STREET,CAPE MAY COURT HOUSE,08210,CAPE MAY,(609) 465-8840,(609) 465-8841,CAPEMAY@ACTIVEDAY.COM,2026-11-30,90,-,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,,,39.07915160,-74.82603900
83002,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF BRIDGETON (NJ83002),"SENIOR CARE CENTERS OF AMERICA, INC.",1137 HIGHWAY 77,UPPER DEERFIELD TOWN,08302,CUMBERLAND,(856) 451-7227,(856) 451-4102,BRIDGETON@ACTIVEDAY.COM,2026-11-30,160,Debra Springer,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,1699073866,DEBORA HOCKENBURY (Contracts Manager),39.47135040,-75.20619830
080670,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF VINELAND (NJ80670),"SENIOR CARE CENTERS OF AMERICA, INC.",2695 SOUTH LINCOLN AVENUE,VINELAND,08361,CUMBERLAND,(856) 691-3756,0,VINELAND@ACTIVEDAY.COM,2026-11-30,100,Kathy Beckett,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,,,39.44564420,-74.99836070
080671,ADULT DAY HEALTH SERVICES FACILITY,COMMUNITY MEDICAL DAY CARE CEN (NJ80671),"COMMUNITY PROGRAMS, INC.",423 W LANDIS AVE,VINELAND,08360,CUMBERLAND,(856) 696-4442,(856) 696-8276,lcarlin531@comcast.net,2027-02-28,125,Mr Lawrence Carlin,"Community Programs, Inc.",423 Landis Avenue,"Vineland, NJ - 08360",CORPORATION - FOR PROFIT,1497892400,LAWRENCE CARLIN (President),39.48593770,-75.02748160
06002,ADULT DAY HEALTH SERVICES FACILITY,JOY OF LIFE ADULT DAY CARE CENTER (NJ06002),"JOY OF LIFE ADULT DAY CARE CENTER, LLC",1751 NORTH SECOND STREET,Millville,08332,CUMBERLAND,(856) 440-5990,(856) 440-5987,millvilleadc@gmail.com,2027-09-30,134,Mr Ketan Shah,"Joy Of Life Adult Day Care Center, Llc",71 Heather Lane,"Colonia, NJ - 07067",PROFIT - LLC,1487011821,KETAN SHAH (Member),39.41656090,-75.03788710
308113,ADULT DAY HEALTH SERVICES FACILITY,2ND HOME EAST ORANGE (NJ308113),2ND HOME EAST ORANGE LLC,115 EVERGREEN PLACE,EAST ORANGE,07018,ESSEX,(973) 676-2600,(973) 676-2800,dionne@2ndhome.org,2027-03-31,150,Jay Shain,2Nd Home East Orange Llc,"25 E Salem St, Suite 500","Hackensack, NJ - 07601",PROFIT - LLC,1922133537,STEVEN FROHLICH (Administrator),40.76213630,-74.22238050
308116,ADULT DAY HEALTH SERVICES FACILITY,"2ND HOME NEWARK OPERATIONS, LLC (NJ308116)","2ND HOME NEWARK OPERATIONS, LLC",717-727 BROADWAY,NEWARK,07104,ESSEX,(973) 268-1212,(973) 268-1016,yana@2ndhome.org,2027-02-28,240,Ms Yana Bojadschijew,"2Nd Home Newark Operations, Llc","25 E Salem Street, Suite 500","Hackensack, NJ - 07601",PROFIT - LLC,,,40.77440160,-74.15918680
308117,ADULT DAY HEALTH SERVICES FACILITY,"2ND HOME ORANGE OPERATIONS, LLC (NJ308117)",PREMIER OF ORANGE LLC,37 NORTH DAY STREET,ORANGE,07050,ESSEX,(973) 395-0555,(973) 395-8279,rocio@2ndhome.org,2027-06-30,110,Sam Ollech,Premier Of Orange Llc,37 North Day Street,"Orange, NJ - 07050",PROFIT - LLC,,,40.77347160,-74.22944200
308114,ADULT DAY HEALTH SERVICES FACILITY,BELLEVILLE SENIOR SERVICES (NJ308114),"BELLEVILLE SENIOR SERVICES, LLC",518 WASHINGTON AVENUE,BELLEVILLE,07109,ESSEX,(973) 751-6000,(973) 751-1190,bssgtb@gmail.com,2027-06-30,110,Mr Gaetano Buttitta,"Belleville Senior Services, Llc",42 Howe Avenue,"Wayne, NJ - 07470",PROFIT - LLC,,,40.79828080,-74.14753050
07020,ADULT DAY HEALTH SERVICES FACILITY,CIRCLE OF LIFE AT BELLEVILLE ADULT DAY CENTER (NJ07020),ELDERCARE OF BELLEVILLE LLC,250 MILL STREET,BELLEVILLE,07109,ESSEX,(973) 751-7600,0,admin@adultdaycarenj.com,2026-12-31,88,Geera Nijhawan,Eldercare Of Belleville Llc,250 Mill Street,"Belleville, NJ - 07109",PROFIT - LLC,,,40.78472080,-74.16038800
308336,ADULT DAY HEALTH SERVICES FACILITY,GOODLIFE ADULT DAY CARE (NJ308336),"APOLLO HEALTHCARE, LLC",515 NORTH ARLINGTON AVENUE,EAST ORANGE,07017,ESSEX,(973) 674-5100,(973) 674-6300,admin@goodlifedaycare.com,2027-02-28,125,Mr Paul Preston,"Apollo Healthcare, Llc",485 River Avenue,"Lakewood, NJ - 08701",PROFIT - LLC,,,40.77656200,-74.19885980
082453,ADULT DAY HEALTH SERVICES FACILITY,HAPPY DAYS ADULT DAY HEALTH CARE (NJ82453),HAPPY DAYS HEALTHCARE LLC,67 SO MUNN AVE,EAST ORANGE,07018,ESSEX,(973) 678-0755,(732) 905-0944,bk@happydayshealthcare.com,2026-10-31,50,Ms Maria Ortiz,Happy Days Healthcare Llc,1153 Buckwald Court,"Lakewood, NJ - 08701",PROFIT - LLC,,,40.75647950,-74.22086730
308100,ADULT DAY HEALTH SERVICES FACILITY,HAPPY DAYS I I ADULT DAY HEALTH (NJ308100),HAPPY DAYS II ADULT MEDICAL DAY,1060 BROAD STREET,NEWARK,07102,ESSEX,(973) 643-3500,0,bk@happydayshealthcare.com,2027-07-31,96,Ms Roylice Brack,Happy Days Ii Adult Medical Day,1153 Buckwald Court,"Lakewood, NJ - 08701",PROFIT - LLC,,,40.73507470,-74.17390570
07025,ADULT DAY HEALTH SERVICES FACILITY,HERITAGE ADULT ENRICHMENT CENTER (NJ07025),"HERITAGE ADULT ENRICHMENT CENTE, LLC",440 WASHINGTON STREET,ORANGE,07050,ESSEX,(973) 677-2273,(862) 233-6450,rmalts68@aol.com,2025-02-28,0,Ms Renee Malts,"Heritage Adult Enrichment Cente, Llc",335 S. Pine Avenue,"Maple Shade, NJ - 08052",,,,40.78419310,-74.22714940
308120,ADULT DAY HEALTH SERVICES FACILITY,HOME AWAY FROM HOME ADULT DAY CARE CENTER OF NUT (NJ308120),"ESSEX MEDICAL DAY CARE, LLC",263 HILLSIDE AVENUE,NUTLEY,07110,ESSEX,(973) 662-9191,(973) 662-1112,hmo@njadultdaycare.com,2026-11-30,140,Mr Roman Rubin,"Essex Medical Day Care, Llc",781 Oneida Trail,"Franklin Lakes, NJ - 07417",PROFIT - LLC,,,40.82756920,-74.15384050
07024,ADULT DAY HEALTH SERVICES FACILITY,IRVINGTON ADULT DAY CARE CENTER (NJ07024),IRVINGTON ADULT DAY CARE CENTER LLC,62-70 HOWARD STREET,IRVINGTON,07111,ESSEX,(201) 803-3072,0,IRVINGTONADC@GMAIL.COM,2027-07-31,200,Ms Alpa Mehta,Irvington Adult Day Care Center Llc,62-70 Howard Street,"Irvington, NJ - 07111",,1548737240,KAILASH GUPTA (Consultant),40.72336340,-74.22692110
02005,ADULT DAY HEALTH SERVICES FACILITY,NEW JERSEY ADULT MEDICAL DAY CARE INC (NJ20005),"NEW JERSEY ADULT MEDICAL DAY CARE, INC",290 CHESTNUT STREET,NEWARK,07105,ESSEX,(973) 578-2815,(973) 589-0386,futurefocusconsultants@gmail.com,2026-11-30,140,Linda Lastella,"New Jersey Adult Medical Day Care, Inc",22-08 Route 208 South,"Fair Lawn, NJ - 07410",,1548689086,JOAN MARIE GRANATO (Owner),40.72284940,-74.16324970
YG153X,ADULT DAY HEALTH SERVICES FACILITY,"NORTH WARD CENTER, THE (NJYG153X)","THE NORTH WARD CENTER, INC.",288 298 MT PROSPECT AVENUE,NEWARK,07104,ESSEX,(973) 481-6145,(973) 481-1573,ngriffith@northwardcenter.org,2027-09-30,120,Ms Rosangela Petinati,"The North Ward Center, Inc.",346 Mt Prospect Avenue,"Newark, NJ - 07104",CORPORATION - NONPROFIT,,,40.76165390,-74.17321460
07033,ADULT DAY HEALTH SERVICES FACILITY,NUTLEY ADULT DAY CARE CENTER INC (NJ07033),NUTLEY ADULT DAY CARE CENTER INC,357-361 HARRISON STREET,NUTLEY,07110,ESSEX,(551) 689-6100,0,maliks121@yahoo.com,2026-11-30,25,Elibeth Guzman,Nutley Adult Day Care Center Inc,"353 Liberty Avenue, 1St Floor","Jersey City, NJ - 07307",PROFIT - LLC,,,40.81459500,-74.17264440
308335,ADULT DAY HEALTH SERVICES in a LONG-TERM CARE FACILITY,"OASIS AT SINAI ADULT MEDICAL DAY CARE, THE (NJ308335)",SINAI CENTER FOR REHABILITATION AND HEALTHCARE LLC,65 JAY STREET,NEWARK,07103,ESSEX,(973) 483-6800,(973) 483-8140,rmentore@sinaipostacutecare.com,2023-12-31,75,Ms Rhonda Mentore,Sinai Center For Rehabilitation And Healthcare Llc,65 Jay Street,"Newark, NJ - 07102",PROFIT - LLC,1437536414,ELI FRANKEL (partner),40.74714320,-74.18367510
308119,ADULT DAY HEALTH SERVICES FACILITY,SIGNATURE MEDICAL DAY CARE OF MONTCLAIR (NJ308119),"FREEHOLD MONTCLAIR HEALTHCARE, LLC",110 GREENWOOD AVENUE,MONTCLAIR,07042,ESSEX,(973) 783-5589,(973) 783-3711,administrator@seniorcarecenternj.org,2027-08-31,170,Mr Vishnu Patel,"Freehold Montclair Healthcare, Llc","40 Vreeland Avenue,Ste 107","Totowa, NJ - 07512",,,,40.81647670,-74.21073310
358100,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF WASHINGTON TOWN (NJ358100),"SENIOR CARE CENTERS OF AMERICA, INC.",123 EGG HARBOR ROAD,SEWELL,08080,GLOUCESTER,(856) 227-1377,0,WASHINGTONTWP@ACTIVEDAY.COM,2026-11-30,110,Ms Tricia Dilisciandro,"Senior Care Centers Of America, Inc.","6 Neshaminy Interplex, Suite 401","Trevose, PA - 19053",CORPORATION - FOR PROFIT,,,39.78092090,-75.10089930
83014,ADULT DAY HEALTH SERVICES FACILITY,COMMUNICARE ADULT DAY HEALTH C (NJ83014),"COMMUNICARE ADULT DAY CENTER, INC.",309 FRIES MILL ROAD,SEWELL,08080,GLOUCESTER,(856) 589-7723,(856) 589-9835,commjdcare@aol.com,2027-05-31,80,Ms Elissa D'Alleva,"Communicare Adult Day Center, Inc.",309 Fries Mill Road,"Sewell, NJ - 08080",CORPORATION - FOR PROFIT,,,39.72334360,-75.05217090
QX8PC0,ADULT DAY HEALTH SERVICES FACILITY,EVERGREEN COURT ADULT DAY SERV (NJQX8PC0),"CARECONNECTION, INC.",551 N EVERGREEN AVENUE,WOODBURY,08096,GLOUCESTER,(856) 845-1976,(856) 845-3743,evergreencourtnj@gmail.com,2026-10-31,50,Ms Nadine Sibila,"Careconnection, Inc.",227 Alvine Road,"Pittsgrove, NJ - 08318",CORPORATION - FOR PROFIT,,,39.84330650,-75.14467650
08002,ADULT DAY HEALTH SERVICES FACILITY,HOME SWEET HOME ADULT MEDICAL DAY CARE (NJ08002),"HSH HOLDING, LLC","860 ROUTE 168, SUITE 100",TURNERSVILLE,08012,GLOUCESTER,(856) 481-4066,(856) 481-4068,homesweethomeamdc@icloud.com,2027-01-31,40,Nida Hasan,"Hsh Holding, Llc","860 Route 163, Suite 100","Turnersville, NJ - 08012",PROFIT - LLC,1609010792;1760700116;1770990400,PAULA BOYD (Administrator);MARIANNE DELUCA (Director of Nursing/Owner);PAUL WRIGHT (OWNER),39.77772860,-75.05222780
08011,ADULT DAY HEALTH SERVICES FACILITY,SUNRISE ADULT DAY CARE (NJ08011),"SEWELL SENIOR CITIZEN CENTER, LLC","475 HURFFVILLE-CROSS KEYS ROAD, SUITE 12/13",SEWELL,08080,GLOUCESTER,(732) 284-6020,0,sewelladultdaycare@gmail.com,2027-02-28,138,Joanna Rosario,"Sewell Senior Citizen Center, Llc",475 Hurffville-Cross Keys Road,"Sewell, NJ - 08080",,,,39.73952690,-75.07224810
408111,ADULT DAY HEALTH SERVICES FACILITY,"2ND HOME UNION CITY, LLC (NJ408111)","2ND HOME UNION CITY OPERATIONS, LLC",3610 PALISADES AVENUE,UNION CITY,07087,HUDSON,(201) 864-0400,(201) 864-6833,Veronica@2ndhome.org,2027-01-31,120,Ms Veronica Lopez,"2Nd Home Union City Operations, Llc",25 E Salem Street Suite 500,"Hackensack, NJ - 07601",PROFIT - LLC,,,40.77329760,-74.02478550
