npi,name,status,enumerated,official,official_title,address,city,zip,phone,primary_adc,n_locations
1720845498,ALL IN A DAY ADULT MEDICAL DAYACRE-BY EXCELCARELLC,A,2024-02-29,KELLY RAIKE,Administrator/Director,104 PENSION RD,MANALAPAN,07726,732-792-2273,True,0
1972638476,ALLIED HEALTHCARE INC.,A,2007-02-23,JAMES BAESZLER,MIS,352 BEVERLY RANCOCAS RD,WILLINGBORO,08046,609-871-8881,True,0
1174740609,"ALTERNATIVE CARE, INC.",A,2007-04-19,GEORGE MERVINE,President,1983 STATE ROUTE 34,WALL,07719,732-974-7666,True,0
1184764649,"ALWAYS CARE ADULT CENTER, INC.",A,2007-02-07,MIRON LIBERMAN,President,8A JOCAMA BLVD.,OLD BRIDGE,08857,732-591-9155,True,0
1750855631,ALWAYS YOUNG AT HEART LLP,A,2019-01-14,RIDA ABI-HABIB,President,25 W BLACK HORSE PIKE,PLEASANTVILLE,08232,914-572-0272,True,0
1760854905,AMBASSADOR HATZLACHA,A,2015-10-27,LEAH RIEDER,Owner,619 RIVER AVE,LAKEWOOD,08701,732-367-1133,True,0
1780710202,AMBASSADOR MEDICAL DAY CARE,A,2007-02-26,AARON STEFANSY,Controller,619 RIVER AVENUE,LAKEWOOD,08701,732-367-1133,True,0
1124422688,AMERICA SOCIETY OF THERMALISM AND CLIMATOLOGY,A,2014-10-13,GARIS SILEGA,President,180 S ORANGE AVE APT 1405,NEWARK,07103,973-900-6397,False,0
1215406863,AMY JACOBS,A,2018-11-13,,,2 E 40TH ST,PATERSON,07514,973-417-2889,True,0
1962388132,ANGEL OF MERCY LLC,A,2025-08-13,ADEOLA AROWORA,Program manager,15 EDITH PL,SOMERSET,08873,609-480-9877,False,0
1346015427,ANGELIC ADVANCE SUPPORT COORDINATOR,A,2023-11-20,NEEMA MUSHI,CEO,399 2ND ST APT 3R,JERSEY CITY,07302,319-300-0095,False,0
1477252021,APEX HOME AND COMMUNITY CARE SERVICES,A,2023-03-02,SAMUEL APPIAH,OWNER,912 POMPTON AVE STE B2,CEDAR GROVE,07009,646-341-7494,False,0
1841561172,APOLLO HEALTHCARE LLC,A,2012-01-18,MOSHE FROST,Controller,515 N ARLINGTON AVE,EAST ORANGE,07017,973-674-1500,True,0
1811454549,"ARCADIA HEALTHCARE GROUP, LLC",A,2019-02-28,TED WILSON,Owner / Administrator,6120 BUCHANAN PL,WEST NEW YORK,07093,973-713-1106,True,0
1992507040,ARCHANGEL MICHAEL ADULT DAY HEALTH CARE CENTER INC.,A,2025-03-26,SAMY BASSILY,Executive Director,7 CHURCH RD,HOWELL,07731,732-690-1575,True,0
1609407212,ARCHANGEL MICHAEL COPTIC ORTHODOX CHURCH,A,2020-02-01,SAMY BASSILY,Treasurer,7 CHURCH RD,HOWELL,07731,732-613-0100,True,0
1952138273,ASAP HOME HEALTHCARE AGENCY LLC,A,2024-09-19,ARDITH COOK,COO,30 KNIGHTSBRIDGE RD STE 525,PISCATAWAY,08854,908-636-8892,False,0
1750785903,ATMIYA ADULT DAY CARE LLC,A,2014-10-17,JAYANT PATEL,PRESIDENT,109 MIDLAND AVE,ELMWOOD PARK,07407,201-509-8870,True,0
1295446557,AUSEN CARE ASSOCIATES LLC,A,2022-12-07,JOHNETTA DILLON,Owner,3000 ATRIUM WAY STE 200,MOUNT LAUREL,08054,856-977-1480,False,0
1376953851,"BAYTUL- IMAN, INC",A,2014-05-05,WAHID SHIBLI,DIRECTOR BUSINESS DEVELOPMENT,311 LAUREL AVE,HAZLET TOWNSHIP,07734,732-207-5893,True,0
1417166547,"BELLEVILLE SENIOR SERVICES, LLC",A,2007-05-22,JAY KLOUD,cfo,518 WASHINGTON AVE,BELLEVILLE,07109,973-751-6000,True,0
1417428335,BERGEN ADULT DAY CARE INC,A,2018-12-17,CHLOE LEE,PRESIDENT,139 E CENTRAL BLVD,PALISADES PARK,07650,201-577-2886,True,0
1992041230,BERGEN COUNTY ADULT DAY CARE LLC,A,2012-12-13,SAVAN PATEL,CEO,340 EVELYN ST,PARAMUS,07652,201-265-0606,True,0
1982949145,BERGEN COUNTY ADULT DAY CARE LLC,A,2012-11-29,SAVAN PATEL,Principal,340 EVELYN ST,PARAMUS,07652,201-265-0606,True,0
1861065005,BERGEN COUNTY IMPROVEMENT AUTHORITY,A,2021-07-23,THOMAS MOLLAHAN,Director,230 E RIDGEWOOD AVE,PARAMUS,07652,201-967-4000,True,0
1023795291,BETTER LIFE ADULT CARE CORP,A,2023-06-29,JOON LEE,Owner/CEO,11 DIVISION AVE,NYACK,10960,201-805-0568,True,0
1720442288,BEZER ADULT DAYCARE SERVICES,A,2016-04-11,DEBRA HEMPLE,CEO,2725 N DELSEA DR,VINELAND,08360,856-696-4380,True,0
1922133537,BIRCHWOOD ADULT DAY CENTER,A,2007-02-22,STEVEN FROHLICH,Administrator,115 EVERGREEN PLACE,EAST ORANGE,07018,973-676-2600,True,0
1073007928,BLACK HORSE ALR LLC,A,2018-06-14,DREW BARILE,CEO,6817 BLACK HORSE PIKE,EGG HARBOR TOWNSHIP,08234,732-403-3151,False,0
1437709797,BLACK HORSE EHT URBAN RENEWAL LLC,A,2019-09-18,DREW BARILE,Member,6817 BLACK HORSE PIKE,EGG HARBOR TOWNSHIP,08234,732-403-3154,False,0
1962636969,BRIANA'S WAY DAY CARE,A,2009-05-06,SUSAN RODRIGUEZ,Owner,22 PLAYERS CIR,TINTON FALLS,07724,732-996-4430,True,0
1477060184,"BRIDGES ADULT DAY HEALTH CARE, LLC",A,2018-01-03,SUSAN VERNACCHIO,controller,352 BEVERLY RANCOCAS RD,WILLINGBORO,08046,609-871-8881,True,0
1902396518,"BRIGHT ADULT MEDICAL DAY CARE, LLC",A,2018-05-18,DAVID GESTETNER,CEO,352 BEVERLY RANCOCAS RD,WILLINGBORO,08046,609-871-8881,True,0
1932768991,BROAD AMDC INC.,A,2019-06-12,JAMES CHANG,President,248 BROAD AVE FL 2,PALISADES PARK,07650,201-669-1050,True,0
1750403473,BROADWAT ADULT MEDICAL DAY CARE CENTER,A,2007-04-04,ZOYA HALAL,Owner,717 BROADWAY,NEWARK,07104,973-268-1212,True,0
1417095324,BROADWAY ADULT MEDICAL DAY CARE INC,A,2007-02-02,ERROL SELTZER,Administrator,24-20 BROADWAY,FAIR LAWN,07410,201-797-1177,True,0
1477761955,BUCKINGHAM ADULT MEDICAL DAY CARE CENTER LLC,A,2007-05-18,CRISTIMINA PEARSON,Administrator,316 N 6TH ST,PROSPECT PARK,07508,973-904-3875,True,0
1659624286,"BUCKINGHAM PLACE, LLC",A,2012-10-19,DEAN PAUL VLECIDES,Administrator,700 WOODS LN,MONMOUTH JUNCTION,08852,732-329-8954,True,0
1952562183,CALVARY BAPTIST ADULT MEDICAL DAY CARE,A,2008-06-20,YVETTE SMITH,Associate Administrator,575 E 18TH ST,PATERSON,07514,973-977-9100,True,0
1992185797,CARE FACTORY INC,A,2015-06-05,MUHAMMAD KAHF,Management,397 HALEDON AVE,HALEDON,07508,973-444-7882,True,0
1619851110,CARE FLEET SUPPORT LLC,A,2025-08-05,JOHNSON UWAGBOE,Director,323 SUNSET AVE,OLD BRIDGE,08857,908-267-4690,False,0
1497217939,CARE FOREVER ADULT DAY CARE CENTER LLC,A,2019-04-03,NEETA THAKAR,President,7 PROGRESS ST,EDISON,08820,732-646-8483,True,0
1972285344,CARE HAVEN SENIOR LIVING LLC,A,2023-08-03,ASHWANI SOIN,Owner,1013 E GIBSON ST,ARCADIA,34266,863-993-9760,False,0
1396291951,CARE WITH LOVE,A,2016-09-01,NESRIN GHALY,Administrative Assistance,953 GARFIELD AVE,JERSEY CITY,07304,201-333-8807,True,0
1144356346,CARECONNECTION. INC,A,2007-02-24,NADINE SIBILA,President,551 N EVERGREEN AVE,WOODBURY,08096,856-845-1976,True,0
1639678642,CAREWAY MEDICAL ADULT DAY CARE CORP,A,2018-02-05,ZHANNA ALERGANT,President/Owner,511 MOLA BLVD,ELMWOOD PARK,07407,201-773-0779,True,0
1285144402,CARING FOR LIFE ADULT MEDICAL DAYCARE,A,2017-10-02,EMILY CHAN,Facility Administrator,120 E HALSEY ROAD,PARSIPPANY,07054,973-515-8079,True,0
1366572687,CARING INC,A,2007-03-06,BRIAN CURRAN,Executive Director of Finance,227 NORTH VERMONT AVENUE,ATLANTIC CITY,08401,609-484-7050,True,0
1336279652,CARING INC,A,2007-03-06,BRIAN CURRAN,Executive Director of Finance,407 WEST DELILAH ROAD,PLEASANTVILLE,08232,609-484-7050,True,0
1427177245,CARING INC,A,2007-03-29,BRIAN CURRAN,Executive Director Of Finance,3700 NEW JERSEY AVENUE,WILDWOOD,08260,609-484-7050,True,0
1558581512,CARING INC,A,2007-05-01,BRIAN CURRAN,Executive Director of Finance,2025 SHORE ROAD,LINWOOD,08221,609-484-7050,True,0
1366567489,CARING INCORPORATED,A,2007-03-20,THOMAS THOMPSON,Controller,227 NORTH VERMONT AVENUE,ATLANTIC CITY,08401,609-484-7050,False,7
1467827634,CARING TREE ADULT MEDICAL DAYCARE LLC,A,2015-12-14,GRAHAM KENNEDY,Administrator/ Owner,51 JAMES WAY,EATONTOWN,07724,732-542-0363,True,0
1902345853,"CARING, INC.",A,2017-02-13,BARBARA JEWELL,President,500 N 7TH ST,CAMDEN,08102,609-484-7050,True,0
1457202533,"CARING, INC.",A,2026-02-05,THOMAS THOMPSON,Controller,6090 DANNENHAUER LN,MAYS LANDING,08330,609-484-7050,True,0
1346541315,"CARING, INC.",A,2010-11-08,THOMAS THOMPSON,Controller,407 W DELILAH RD,PLEASANTVILLE,08232,609-484-7050,True,0
1477840718,"CARING, INC.",A,2011-07-07,THOMAS THOMPSON,Controller,122 E MAIN ST,MILLVILLE,08332,609-484-7050,True,0
1942529359,"CARING, INC.",A,2010-05-25,BARBARA JEWELL,Acting Executive Director,227 NORTH VERMONT AVENUE,ATLANTIC CITY,08401,609-484-7050,True,0
1548577349,"CARING, INC.",A,2010-09-01,BARBARA JEWELL,Acting Executive Director,72 DANFORTH AVE,JERSEY CITY,07305,609-484-7050,True,0
1669808895,CASCADE CORPORATION,A,2013-09-19,TAMARA MORELAND,LNHA,144 MAGNOLIA DR,CAPE MAY COURT HOUSE,08210,609-465-7171,True,0
1467448803,CASCADE CORPORATION,A,2005-09-21,JENNIFER HESS,LNHA,144 MAGNOLIA DR,CAPE MAY COURT HOUSE,08210,609-465-7171,False,0
1487887485,CATHOLIC CHARITIES OF THE ARCH OF NEWARK,A,2009-08-25,ALLAN DAUL,EXECUTIVE DIRECTOR,415 5TH AVE,RIVER EDGE,07661,201-265-3840,True,0
1093994071,CATHOLIC FAMILY & COMMUNITY SERVICES,A,2007-10-26,JOSEPH DUFFY,Executive Director of Catholic Fami,163 ROSA PARKS BLVD,PATERSON,07501,973-345-5853,True,0
1366848582,CCC COUNSELING INC,A,2014-11-16,JEDIEDJAH PEREIRA,OWNER,1212 TODD CT,LAKEWOOD,08701,609-225-9355,False,0
1659557296,CEDAR HARBOR MEDICAL DAY CARE CENTER,A,2008-01-14,MOSHE SCHAUM,Business Manager,545 E 1ST AVE,ROSELLE,07203,908-298-8588,True,0
1558802488,CENTRAL WARD SOCIAL ADULT DAYCARE CENTER,A,2017-03-11,ANDRE SPEIGHT,Executive Director,167 S 6TH ST,NEWARK,07103,973-842-5662,True,0
1437528510,"CENTRO DE AMIGOS, LLC",A,2015-09-18,ENID KARPEH,President,91 BROADWAY,HAVERSTRAW,10927,845-553-9777,True,0
1588081327,"CENTURY ADULT DAY HEALTH SERVICES, LLC",A,2014-03-18,BURT LACIVITA,Officer,16 LINDSLEY AVE,WEST ORANGE,07052,973-325-0229,True,0
1154429546,CHRISTIAN HEALTH CARE CENTER,A,2006-09-20,KEVIN STAGG,Executive Vice President CFO,2000 SIENA VLG,WAYNE,07470,973-305-9155,True,0
1851487334,CHRISTIAN HEALTH CARE CENTER,A,2006-10-04,KEVIN STAGG,Executive Vice President/CFO,301 SICOMAC AVE,WYCKOFF,07481,201-848-5200,True,0
1578819710,CIS AFFORDABLE LLC,A,2012-07-25,CHRISTIANA FOGLIO,Member,201 CROSSWICKS ST,BORDENTOWN,08505,609-298-2229,True,0
1528199551,CLARENDON GARDENS SOCIAL CENTER,A,2007-03-09,ROCHELLE SMITH,Managing Member,212 CLIFTON AVE,NEWARK,07104,973-481-6516,True,0
1699559104,CLAUDIO MIRO,A,2023-08-24,,,5 DELAWARE RD,MORRISTOWN,07960,973-495-6686,True,0
1225727068,CLAYMONT ADULT DAY CARE CENTER LLC,A,2023-05-08,XIN LIU,Owner,2400 PHILADELPHIA PIKE STE B,CLAYMONT,19703,302-404-3888,True,0
1497892400,COMMINITY PROGRAMS INC.,A,2007-01-31,LAWRENCE CARLIN,President,423 W LANDIS AVE,VINELAND,08360,856-691-8554,True,0
1093858789,"COMMUNICARE ADULT DAY HEALTH CENTER, INC.",A,2007-02-14,JACQUELINE DIMAIO,President,309 FRIES MILL RD,SEWELL,08080,856-589-7723,True,0
1720418312,"COMMUNITY HOSPITAL GROUP, INC",A,2013-11-18,RICHARD SMITH,CFO,3 PROGRESS ST,EDISON,08820,908-912-1910,True,0
1760444913,CONFIDENT DAY CARE,A,2006-04-04,ELENA ORLIOUKOVA,President,53 HADDONFIELD RD,CHERRY HILL,08002,856-414-9400,True,0
1295561421,CONNECTED DOTS LLC,A,2024-09-13,JANAE JEFFERSON,Director,76 FARM RD UNIT G,HILLSBOROUGH,08844,908-625-0013,True,0
1235330697,COUNTY OF BERGEN - SENIOR CARE CENTER,A,2007-05-31,GREGORY CONDAL,FISCAL OPERATIONS OFFICER,327 EAST RIDGEWOOD AVENUE,PARAMUS,07652,201-634-2820,True,0
1134938962,COURTYARD ADULT DAY CENTER LLC,A,2025-01-06,NINA TERESHCHENKO,Administrator,111 W MAIN ST,CLINTON,08809,908-735-5111,True,0
1487821930,CPL WHITING LLC,A,2008-05-14,STUART LINDEMAN,Senior Vice President,3000 HILLTOP RD,WHITING,08759,732-849-4400,True,0
1184138125,CROSSCULTURES HEALTH & WELLNESS LLC,A,2017-11-29,ILA BRAHMBHATT,Admin,661 HIGHWAY 33,HAMILTON,08619,609-931-9464,True,0
1508992850,CUMBERLAND COUNTY OFFICE ON AGING,A,2007-02-23,MISONO MILLER,Executive Director,154 SUNNY SLOPE DR,BRIDGETON,08302,856-455-8000,True,0
1407655681,DAY STAKE LLC,A,2025-03-11,MICHAEL TUCCI,President,18-01 POLLITT DR,FAIR LAWN,07410,201-242-0305,True,0
1174664650,DAYBREAK ADULT DAYCARE AT ELIZABETH LLC,A,2007-02-09,MANISHA  PATEL,Owner,712 NEWARK AVE,ELIZABETH,07208,908-353-3530,True,0
1144048158,DAYLIGHT HAVEN LLC,A,2024-09-30,YAKOV TAUB,Managing Member,617 MOUNT PROSPECT AVE,NEWARK,07104,973-282-9494,True,0
1508214099,DIAMOND YEARS ADULT MEDICAL DAY CARE CENTER LLC,A,2016-05-25,EUGENA KIM,Administrator,360 WEST CLINTON STREET,HALEDON,07508,973-942-4111,True,0
1215624630,DIVINECARE PHYSICAL THERAPY LLC,A,2023-04-18,JALPA DHOLARIA,Founder,11 SKILLMAN AVENUE,JERSEY CITY,07306,646-379-4540,False,0
1396128195,E GLISE EVANGELIGUE EBEN EZER INC,A,2015-06-30,DANIEL LAURENT,Administrator,188 CENTRAL AVENUE,EAST ORANGE,07018,973-776-2205,True,0
1124270558,"EDISON ADULT DAY CARE CENTER, LLC",A,2008-10-16,DEBORAH REDINGER,Administrator,1655 OAK TREE RD STE 150,EDISON,08820,732-494-1001,True,0
1770962300,ELDER CARE OF BELLEVILLE LLC,A,2015-05-28,RAKESH ANTALA,PARTNER,250 MILL ST,BELLEVILLE,07109,973-876-9617,True,0
1669697280,ELDERCARE OF ELIZABETH,A,2007-04-17,HAROLD HERSKOWITZ,ADMINISTRATOR,550 N BROAD ST,ELIZABETH,07208,908-994-0050,True,0
1427762954,ERICA CARES LLC,A,2023-01-10,ERICA BROWN,owner,38 THOMAS AVE,SHREWSBURY,07702,732-239-6048,True,0
1215072657,ESSEX MEDICAL DAY CARE LLC,A,2007-02-21,ALEX RUBIN,President,263 HILLSIDE AVE,NUTLEY,07110,973-662-9191,True,0
1578070215,ESSEX REGIONAL EDUCATIONAL SERVICES COMMISSION,A,2018-01-03,JOHN FERRARO,School Business Administrator,23 FAIRFIELD PL,WEST CALDWELL,07006,973-405-6262,True,0
1245881556,EVERGREEN ADULT CARE LLC,A,2019-09-27,WAHID SHIBLI,MANAGER ADMIN,270 HIGHLAND RD,SOUTH ORANGE,07079,732-207-5893,True,0
1629317367,"EVERGREEN ADULT DAY CARE, LLC",A,2013-01-31,VISHAL PATEL,Owner,33 EVERGREEN PL,EAST ORANGE,07018,732-991-8527,True,0
1962952119,"EVERGREEN EAST ORANGE, LLC",A,2016-10-12,DIVYESH MEHTA,Manager,88 EVERGREEN PL,EAST ORANGE,07018,732-986-6978,True,0
1669894846,EVERGREEN SOCIAL CARE LLC,A,2014-01-07,SHAHRUKH JOVINDAH,Managing Member,941 WHITE HORSE AVE,HAMILTON,08610,609-577-0588,True,0
1437612215,FAMILY ADULT DAY CARE LLC,A,2019-04-09,SHANI MADAMINOVA,Administrator,455 MEADOW LN,CARLSTADT,07072,845-399-5544,True,0
1134565567,FAMILY FIRST CARE SERVICES,A,2013-05-13,PAUL FIRETTO,Office Manager,607 S WHITE HORSE PIKE,AUDUBON,08106,856-672-0001,True,0
1699386193,FAMILY SENIOR HEALTH LLC,A,2020-08-10,LUISA UBIERA,ADMINISTRATOR,675 GARFIELD AVE,JERSEY CITY,07305,201-761-0280,True,0
1942335807,FAMILY SENIOR HEALTH LLC,A,2007-02-22,LUISA SANTANA,Administrator,675 GARFIELD AVE,JERSEY CITY,07305,201-761-0280,True,0
1891353215,FIRST HC YONKERS LLC,A,2019-05-31,YAAKOV FRIEDMAN,Managing Member,525 NEPPERHAN AVE FL 2,YONKERS,10703,732-886-1900,True,0
1699806109,FIRST HEALTHCARE ASBURY PARK LLC,A,2007-03-08,YAAKOV FRIEDMAN,Managing Member,600 MAIN ST,ASBURY PARK,07712,732-869-9090,True,0
1043341712,FIRST HEALTHCARE BERGENFIELD LLC,A,2007-03-07,YAAKOV FRIEDMAN,Managing Member,16 N WASHINGTON AVE,BERGENFIELD,07621,201-387-8500,True,0
1164553665,FIRST HEALTHCARE LLC,A,2007-03-08,YAAKOV FRIEDMAN,Managing Member,540 BORDENTOWN AVE,SOUTH AMBOY,08879,732-553-1600,True,0
1972645034,FIVE STAR ADULT MEDICAL DAY CARE CENTER LLC,A,2007-02-13,SVETLANA MARYASH,Managing Member,1201 DEERFIELD TER,LINDEN,07036,908-486-5750,True,0
1164132148,FIVIC SUPPORT SERVICES,A,2022-11-30,AMA BAFFOE,Executive Director,209 PASSAIC AVE,BELLEVILLE,07109,973-392-0430,False,0
1336524917,FLEMINGTON ADULT DAY CARE CENTER,A,2015-07-24,BHAGVATSINH PARMAR,PARTNER,3 WALTER E FORAN BLVD,FLEMINGTON,08822,732-331-8966,True,0
1356835276,FLEMINGTON SOCIAL ADULT DAY CARE LLC,A,2018-06-15,SAMIR SHAH,CEO,3 WALTER E FORAN BLVD,FLEMINGTON,08822,732-589-9404,True,0
1528280823,FOREVER YOUNG MEDICAL DAY CARE,A,2007-05-03,MARIYA TOLCHEVA,OWNER,18 WORLDS FAIR DRIVE,SOMERSET,08873,732-271-8010,True,0
1225655343,FOREVER YOUNG MEDICAL DAY CARE,A,2020-07-06,MARIYA TOLCHEVA,PARTNER - MANAGER,18 WORLDS FAIR DR FL 1,SOMERSET,08873,732-939-9512,True,0
1730929050,FOUR CORNERS COMMUNITY SERVICES LLC,A,2024-05-27,AMA BAFFOE,Executive Director,201 19TH ST FL 1,UNION CITY,07087,973-210-6066,False,0
1740678861,"FREEHOLD HEALTHCARE, LLC",A,2014-12-23,ROBERT NOTTE,Managing Member,680 BROADWAY,PATERSON,07514,973-812-9777,True,0
1184143521,"FREEHOLD MONTCLAIR HEALTHCARE, LLC",A,2017-09-18,ROBERT NOTTE,President,110 GREENWOOD AVE,MONTCLAIR,07042,973-783-5589,True,0
1871247007,"FRIENDS OF GRACE SENIORS, INC.",A,2022-02-07,JUNGHYE AHN,Director of Health,100 GROVE STREET,TENAFLY,07670,201-541-1200,True,0
1083566327,GALLOWAY ADC LLC,A,2026-02-10,SUNIL NAYAK,OWNER,76 W JIMMIE LEEDS RD,GALLOWAY,08205,609-337-6300,True,0
1972283232,GARDEN STATE ADULT MEDICAL DAY CARE CENTER LLC,A,2023-07-21,NILAM TRIVEDI,Administration,20 MEADOWLANDS PKWY,SECAUCUS,07094,201-407-9757,True,0
1053456012,GENERATIONS ADULT DAY HEALTH SERVICES LLC,A,2007-02-20,CHRISTA CALDARALE-AHEARN,"Chief Executive Officer,Owner,Admin",40 E NEW YORK AVE,SOMERS POINT,08244,609-653-9700,True,0
1497977870,"GENERATIONS PLUS, LLC",A,2007-05-03,MOSHE CULANG,adminstrator,7905 BROWNING RD,PENNSAUKEN,08109,856-317-1910,True,0
1225409832,GIFF SOCIAL ADULT DAY CARE,A,2015-10-08,OLOLADE BALOGUN,Owner,1150 DELSEA DR,WESTVILLE,08093,856-383-3515,True,0
1497804231,"GOLD CHRIS ASSOCIATES, LLC",A,2007-01-10,JEFFREY GOLDSTEIN,Chief Executive Officer,1 CENTRE ST.,OCEAN,07712,732-922-0591,False,0
